Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Principal,Heidi Paluk,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Principal,Caleb Balderston,1 Westinghouse Plaza,Building B,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Advanced Math and Science Academy Charter (District): Advanced Math and Science Academy Charter School,04300305,Charter School,Principal,Michael Nawrocki,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499,"06,07,08,09,10,11,12"
Alma del Mar Charter School (District): Alma del Mar Charter School,04090205,Charter School,Principal,Will Gardner,515 Belleville Ave,,New Bedford,MA,02746,774-206-6827,774-206-6833,"K,01,02,03,04,05,06,07,08"
Argosy Collegiate Charter School (District): Argosy Collegiate Charter School,35090305,Charter School,Principal,Kristen Pavao,263 Hamlet Street,,Fall River,MA,02724,508-567-4725,774-365-4383,"06,07,08,09,10,11,12"
Atlantis Charter (District): Atlantis Charter School,04910550,Charter School,Principal,Robert Beatty,991 Jefferson St,,Fall River,MA,02721,508-646-6410,508-672-3489,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,35020405,Charter School,Principal,Joretha Lewis,2001 Roosevelt Avenue,,Springfield,MA,01104,413-366-5100,413-366-5101,"06,07,08,09,10,11,12"
Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,04200205,Charter School,Principal,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223,"PK,K,01,02,03,04,05,06"
Benjamin Franklin Classical Charter Public (District): Benjamin Franklin Classical Charter Public School,04470205,Charter School,Principal,Heather Zolnowski,500 Financial Park,,Franklin,MA,02038,508-541-3434,508-541-5396,"K,01,02,03,04,05,06,07,08"
Berkshire Arts and Technology Charter Public (District): Berkshire Arts and Technology Charter Public School,04140305,Charter School,Principal,Sean Keogh,One Commercial Place,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327,"06,07,08,09,10,11,12"
Boston Collegiate Charter (District): Boston Collegiate Charter School,04490305,Charter School,Principal,Jenna Ogundipe,11 Mayhew Street,,Dorchester,MA,02125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12"
Boston Day and Evening Academy Charter (District): Boston Day and Evening Academy Charter School,04240505,Charter School,Principal,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,02119,617-635-6789,617-635-6380,"09,10,11,12"
Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,04110305,Charter School,Principal,Matthew Holzer,20 Warren St.,,Brighton,MA,02135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12"
Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,04160305,Charter School,Principal,Eileen Callahan,885 River Street,,Hyde Park,MA,02136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12"
Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,04810550,Charter School,Principal,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,02136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06"
Bridge Boston Charter School (District): Bridge Boston Charter School,04170205,Charter School,Principal,Orin Gutlerner,435 Warren St.,,Roxbury,MA,02119,857-229-1601,617-674-0861,"PK,K,01,02,03,04,05,06,07,08"
Brooke Charter School (District): Brooke Charter School,04280305,Charter School,Principal,Jon Clark,190 Cummins Highway,,Roslindale,MA,02131,617-325-7977,617-325-2260,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Cape Cod Lighthouse Charter (District): Cape Cod Lighthouse Charter School,04320530,Charter School,Principal,Paul Niles,195 Route 137,,East Harwich,MA,02645,774-408-7994,774-237-9041,"06,07,08"
Christa McAuliffe Charter Public (District): Christa McAuliffe Charter Public School,04180305,Charter School,Principal,Frank Tipton,139 Newbury St,,Framingham,MA,01701,508-879-9000,508-471-3135,"06,07,08"
City on a Hill Charter Public School (District): City on a Hill Charter Public School,04370505,Charter School,Principal,Laura Tobias,58 Circuit Street,,Roxbury,MA,02119,617-445-1515,617-445-9153,"09,10,11,12"
Codman Academy Charter Public (District): Codman Academy Charter Public School,04380505,Charter School,Principal,Pamela Casna,637 Washington Street,,Dorchester,MA,02124,617-287-0700,617-287-9064,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Collegiate Charter School of Lowell (District): Collegiate Charter School of Lowell,35030205,Charter School,Principal,Laurie Hodgdon,1857 Middlesex Street,,Lowell,MA,01851,978-458-1399,978-458-1366,"K,01,02,03,04,05,06,07,08,09,10,11"
Community Charter School of Cambridge (District): Community Charter School of Cambridge,04360305,Charter School,Principal,Rebecca Norris,245 Bent Street,,Cambridge,MA,02141,617-354-0047,617-354-3624,"06,07,08,09,10,11,12"
Community Day Charter Public School - Gateway (District): Community Day Charter Public School - Gateway,04260205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,01841,978-722-2538,978-686-9382,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - Prospect (District): Community Day Charter Public School - Prospect,04400205,Charter School,Principal,Mary Chance,190 Hampshire Street,,Lawrence,MA,01840,978-722-2538,978-682-1013,"PK,K,01,02,03,04,05,06,07,08"
Community Day Charter Public School - R. Kingman Webster (District): Community Day Charter Public School - R. Kingman Webster,04310205,Charter School,Principal,Mary Chance,50 Pleasant Street,,Lawrence,MA,01841,978-722-2538,978-686-9382,"PK,K,01,02,03,04,05,06,07,08"
Conservatory Lab Charter (District): Conservatory Lab Charter School,04390050,Charter School,Principal,Nicole Mack,395 Columbia Rd,,Dorchester,MA,02125,617-254-8904,617-254-8908,"PK,K,01,02,03,04,05,06,07,08"
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,04070405,Charter School,Principal,Elijah Heckstall,6 Shirley Street,,Boston,MA,02119,617-227-8055,--,"PK,K,01,02,03,04,05"
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District): Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,Charter School,Principal,Caren Walker Gregory,10 Fenwood Road,,Boston,MA,02115,617-635-8450,617-635-8452,"09,10,11,12"
Excel Academy Charter (District): Excel Academy Charter School,04100205,Charter School,Principal,Owen Stearns,58 Moore Street,,East Boston,MA,02128,617-874-4080,617-674-3436,"05,06,07,08,09,10,11,12"
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Principal,Peter Garbus,248 Colrain Road,,Greenfield,MA,01301,413-775-4577,413-775-4578,"07,08,09,10,11,12"
Foxborough Regional Charter (District): Foxborough Regional Charter School,04460550,Charter School,Principal,Michael Cournoyer,131 Central Street,,Foxborough,MA,02035,508-543-2508,508-543-7982,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Francis W. Parker Charter Essential (District): Francis W. Parker Charter Essential School,04780505,Charter School,Principal,Todd Sumner,49 Antietam St,,Devens,MA,01434,978-772-3293,978-772-3295,"07,08,09,10,11,12"
Global Learning Charter Public (District): Global Learning Charter Public School,04960305,Charter School,Principal,Lena Pires,190 Ashley Boulevard,,New Bedford,MA,02746,508-991-4105,508-991-4110,"05,06,07,08,09,10,11,12"
Hampden Charter School of Science East (District): Hampden Charter School of Science East,04990305,Charter School,Principal,Robyn Sklar,20 Johnson Rd,,Chicopee,MA,01022,413-593-9090,413-294-2648,"06,07,08,09,10,11,12"
Hampden Charter School of Science West (District): Hampden Charter School of Science West,35160305,Charter School,Principal,Mehmet Cogal,511 Main St.,,West Springfield,MA,01089,413-278-5450,413-278-5387,"06,07,08,09,10,11,12"
Helen Y. Davis Leadership Academy Charter Public (District): Helen Y. Davis Leadership Academy Charter Public School,04190305,Charter School,Principal,Arturo Forrest,23 Leonard Street,,Boston,MA,02122,617-474-7950,617-474-7957,"06,07,08"
Hill View Montessori Charter Public (District): Hill View Montessori Charter Public School,04550050,Charter School,Principal,Phil Arnold,75 Foundation Avenue,,Haverhill,MA,01835,978-521-2616,978-521-2656,"K,01,02,03,04,05,06,07,08"
Hilltown Cooperative Charter Public (District): Hilltown Cooperative Charter Public School,04500105,Charter School,Principal,Lara Ramsey,1 Industrial Parkway,,Easthampton,MA,01027,413-529-7178,413-527-1530,"K,01,02,03,04,05,06,07,08"
Holyoke Community Charter (District): Holyoke Community Charter School,04530005,Charter School,Principal,Sonia Pope,2200 Northampton St,,Holyoke,MA,01040,413-533-0111,413-536-5444,"K,01,02,03,04,05,06,07,08"
Innovation Academy Charter (District): Innovation Academy Charter School,04350305,Charter School,Principal,Gregory Orpen,72 Tyng Road,,Tyngsboro,MA,01879,978-649-0432,978-649-6337,"05,06,07,08,09,10,11,12"
KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,04630205,Charter School,Principal,Rhonda Barnes,37 Babson Street,KIPP Academy Boston,Mattapan,MA,02126,617-393-5682,617-652-7461,"K,01,02,03,04,05,06,07,08"
KIPP Academy Lynn Charter (District): KIPP Academy Lynn Charter School,04290010,Charter School,Principal,Rhonda Barnes,90 High Rock Street,,Lynn,MA,01902,781-598-1609,781-598-1639,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Lawrence Family Development Charter (District): Lawrence Family Development Charter School,04540205,Charter School,Principal,Susan Earabino,34 West Street,,Lawrence,MA,01841,978-689-9863,978-689-8133,"PK,K,01,02,03,04,05,06,07,08"
Learning First Charter Public School (District): Learning First Charter Public School,04860105,Charter School,Principal,Leo Flanagan,51 Gage Street,,Worcester,MA,01605,774-420-7650,774-420-7295,"K,01,02,03,04,05,06,07,08"
Libertas Academy Charter School (District): Libertas Academy Charter School,35140305,Charter School,Principal,Modesto Montero,146 Chestnut Street,,Springfield,MA,01103,413-342-5510,--,"06,07,08,09"
Lowell Community Charter Public (District): Lowell Community Charter Public School,04560050,Charter School,Principal,Nicholas Leonardos,206 Jackson Street,,Lowell,MA,01852,978-323-0800,978-323-4600,"PK,K,01,02,03,04,05,06,07,08"
Lowell Middlesex Academy Charter (District): Lowell Middlesex Academy Charter School,04580505,Charter School,Principal,Sean McCarthy,67 Middle Street,,Lowell,MA,01852,978-656-3165,978-459-0456,"09,10,11,12"
MATCH Charter Public School (District): MATCH Charter Public School,04690505,Charter School,Principal,Jon Beck,1001 Commonwealth Avenue,,Boston,MA,02215,617-232-0300,617-232-2838,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Map Academy Charter School (District): Map Academy Charter School,35170505,Charter School,Principal,Rachel Babcock,11 Resnik Road,,Plymouth,MA,02360,508-830-9500,508-425-2441,"09,10,11,12"
Marblehead Community Charter Public (District): Marblehead Community Charter Public School,04640305,Charter School,Principal,John Cronin,17 Lime Street,,Marblehead,MA,01945,781-631-0777,781-631-0500,"04,05,06,07,08"
Martha's Vineyard Charter (District): Martha's Vineyard Charter School,04660550,Charter School,Principal,Peter Steedman,PO Box 1150,,West Tisbury,MA,02575,508-693-9900,508-696-9008,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Martin Luther King Jr. Charter School of Excellence (District): Martin Luther King Jr. Charter School of Excellence,04920005,Charter School,Principal,Kendra Salvador,285 Dorset Street,,Springfield,MA,01108,413-214-7806,413-214-7838,"K,01,02,03,04,05"
Mystic Valley Regional Charter (District): Mystic Valley Regional Charter School,04700105,Charter School,Principal,Alex Dan,770 Salem Street,,Malden,MA,02148,781-388-0222,781-321-5688,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Neighborhood House Charter (District): Neighborhood House Charter School,04440205,Charter School,Principal,Kate Scott,21 Queen Street,,Dorchester,MA,02122,617-825-0703,617-825-1829,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
New Heights Charter School of Brockton (District): New Heights Charter School of Brockton,35130305,Charter School,Principal,Omari Walker,1690 Main Street,,Brockton,MA,02301,508-857-4633,508-857-5721,"06,07,08,09,10,11,12"
Old Sturbridge Academy Charter Public School (District): Old Sturbridge Academy Charter Public School,35150205,Charter School,Principal,Lisa DeTora,1 Old Sturbridge Village Road,,Sturbridge,MA,01566,508-347-0283,--,"K,01,02,03,04,05,06,07"
Paulo Freire Social Justice Charter School (District): Paulo Freire Social Justice Charter School,35010505,Charter School,Principal,Gilbert Traverso,134 Springfield St,,Chicopee,MA,01013,413-536-3201,413-536-3206,"09,10,11,12"
Phoenix Academy Public Charter High School Lawrence (District): Phoenix Academy Public Charter High School Lawrence,35180505,Charter School,Principal,Nachelle Gordon,15 Union Street,,Lawrence,MA,01840,978-722-8410,--,"09,10,11,12"
Phoenix Academy Public Charter High School Springfield (District): Phoenix Academy Public Charter High School Springfield,35080505,Charter School,Principal,Calvin Johnson,65 Lincoln Street,,Springfield,MA,01105,413-273-1236,423-294-2500,"09,10,11,12"
Phoenix Charter Academy (District): Phoenix Charter Academy,04930505,Charter School,Principal,Stella Dubish,175 Hawthorne Street,,Chelsea,MA,02150,617-889-3100,617-889-3144,"09,10,11,12"
Pioneer Charter School of Science (District): Pioneer Charter School of Science,04940205,Charter School,Principal,Sanela Jonuz,51-59 Summer Street,,Everett,MA,01249,617-389-7277,617-389-7278,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Pioneer Charter School of Science II (PCSS-II) (District): Pioneer Charter School of Science II (PCSS-II),35060505,Charter School,Principal,Vahit Sevinc,97 Main Street,,Saugus,MA,01906,781-666-3945,781-666-3910,"07,08,09,10,11,12"
Pioneer Valley Chinese Immersion Charter (District): Pioneer Valley Chinese Immersion Charter School,04970205,Charter School,Principal,Kathleen Wang,317 Russell Street,,Hadley,MA,01035,413-582-7040,413-582-7068,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Pioneer Valley Performing Arts Charter Public (District): Pioneer Valley Performing Arts Charter Public School,04790505,Charter School,Principal,Brent Nielsen,15 Mulligan Drive,,South Hadley,MA,01075,413-552-1580,413-552-1594,"07,08,09,10,11,12"
Prospect Hill Academy Charter (District): Prospect Hill Academy Charter School,04870550,Charter School,Principal,Angela Allen,50 Essex Street,,Cambridge,MA,02139,617-284-7800,617-284-7980,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12"
Rising Tide Charter Public (District): Rising Tide Charter Public School,04830305,Charter School,Principal,Michael O'Keefe,59 Armstrong Road,,Plymouth,MA,02360,508-747-2620,508-747-1826,"05,06,07,08,09,10,11,12"
River Valley Charter (District): River Valley Charter School,04820050,Charter School,Principal,Jonnie Lyn Evans,2 Perry Way,,Newburyport,MA,01950,978-465-0065,978-465-0119,"K,01,02,03,04,05,06,07,08"
Roxbury Preparatory Charter (District): Roxbury Preparatory Charter School,04840505,Charter School,Principal,Tera Carr,120 Fisher Avenue,,Roxbury,MA,02120,617-566-2361,617-566-2373,"05,06,07,08,09,10,11,12"
Salem Academy Charter (District): Salem Academy Charter School,04850485,Charter School,Principal,Stephanie Callahan,45 Congress St.,Shetland Park,Salem,MA,01970,978-744-2105,978-744-7246,"06,07,08,09,10,11,12"
Sizer School: A North Central Charter Essential (District): Sizer School: A North Central Charter Essential School,04740505,Charter School,Principal,David Uminski,500 Rindge Road,,Fitchburg,MA,01420,978-345-2701,978-345-9127,"07,08,09,10,11,12"
South Shore Charter Public (District): South Shore Charter Public School,04880550,Charter School,Principal,Angie Pepin,100 Longwater Circle,,Norwell,MA,02061,781-982-4202,781-982-4201,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Springfield International Charter (District): Springfield International Charter School,04410505,Charter School,Principal,Justin Baker,160 Joan Street,,Springfield,MA,01129,413-783-2600,413-783-2555,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Springfield Preparatory Charter School (District): Springfield Preparatory Charter School,35100205,Charter School,Principal,Jessica Yiannos,2071 Roosevelt Ave.,,Springfield,MA,01104,413-231-2722,--,"K,01,02,03,04,05,06,07"
Sturgis Charter Public (District): Sturgis Charter Public School,04890505,Charter School,Principal,Paul Marble,427 Main Street,,Hyannis,MA,02601,508-778-1782,508-771-6785,"09,10,11,12"
UP Academy Charter School of Boston (District): UP Academy Charter School of Boston,04800405,Charter School,Principal,Rashidah Lawson,215 Dorchester Street,,South Boston,MA,02127,617-635-8819,617-635-8820,"06,07,08"
UP Academy Charter School of Dorchester (District): UP Academy Charter School of Dorchester,35050405,Charter School,Principal,Erica Andrew,35 Westville Street,,Boston,MA,02124,617-635-8810,--,"PK,K,01,02,03,04,05,06,07,08"
Veritas Preparatory Charter School (District): Veritas Preparatory Charter School,04980405,Charter School,Principal,Amy Clark,370 Pine Street,,Springfield,MA,01105,413-539-0055,413-306-5076,"05,06,07,08"